"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
2,-0.9609,0,1,1,108978.0922,NA,0,-1,NA,0,0,0,0,0,0,0
2,0.2207,0,1,-1,301,-0.8749,1,1,-1,0,0,0,0,0,0,0
2,-1.2257,1,1,-1,35342.3091,-0.1438,1,-1,-1,0,0,0,0,0,0,0
2,-0.5877,0,1,-1,10295.7143,-1.2333,1,-1,-1,0,1,0,0,0,0,0
2,-0.5735,0,-1,-1,8384.5,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.3767,0,1,1,21742.5652,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.1778,1,1,-1,145032.6667,0.5172,1,-1,1,0,1,0,0,0,0,0
2,-0.7675,1,1,1,55055.7714,0.356,1,-1,1,0,2,0,0,0,0,0
2,0.1412,1,1,-1,55055.7714,0.356,1,1,1,0,2,0,0,0,0,0
2,1.0356,1,1,-1,8311,-0.0112,1,1,-1,0,1,0,0,0,0,0
2,-0.6507,0,1,-1,13104.6,NA,0,-1,NA,0,1,0,0,0,0,0
2,0.5758,0,1,-1,4351.2727,0.2716,1,1,1,0,3,1,0,0,0,1
2,-0.8705,0,1,1,57837.2778,-0.773,1,-1,-1,0,2,1,0,0,0,1
2,-0.3055,1,1,1,70743.6923,0.2837,1,-1,1,1,0,0,1,0,0,0
2,-0.3438,0,1,-1,815.3333,0.3834,1,-1,1,1,2,0,1,0,0,0
2,0.6405,0,1,-1,5519.8889,NA,0,1,NA,0,1,0,0,0,0,0
2,-0.5603,1,1,-1,95798.3333,-0.2359,1,-1,-1,0,1,0,0,0,0,0
2,-0.6524,0,1,-1,51519.4167,-1.344,1,-1,-1,0,1,0,0,0,0,0
2,2.2677,0,-1,-1,84296.55,NA,0,1,NA,1,2,0,1,0,0,0
2,-0.6776,1,1,-1,1231392.15,-1.241,1,-1,-1,1,1,0,0,0,1,0
2,-0.3932,0,1,-1,3497.8,-0.9297,1,-1,-1,0,0,0,0,0,0,0
2,-0.9631,0,-1,1,84429.125,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.7527,0,1,-1,244,NA,0,-1,NA,0,1,0,0,0,0,0
2,2.0583,1,1,-1,92806.5,NA,0,1,NA,0,1,0,0,0,0,0
2,0.2229,0,-1,-1,3724.8413,NA,0,1,NA,1,0,0,1,0,0,0
2,-0.7916,0,1,-1,7351.3636,0.2366,1,-1,1,0,3,0,0,0,0,0
2,-0.5948,0,1,-1,1135.3333,-1.1643,1,-1,-1,0,0,0,0,0,0,0
2,-0.8968,0,-1,1,1271.8333,NA,0,-1,NA,2,0,0,2,0,0,0
2,-1.3829,0,1,1,12670.4603,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.6272,0,1,-1,9493.9231,NA,0,-1,NA,0,1,0,0,0,0,0
2,-1.207,0,1,-1,6586,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.8639,0,1,-1,2837,2.0594,1,-1,1,3,0,0,3,0,0,0
2,-1.178,0,-1,1,2978.6897,-0.7719,1,-1,-1,0,1,0,0,0,0,0
2,1.3562,1,1,-1,7542,0.1565,1,1,1,0,0,0,0,0,0,0
2,-0.6316,0,1,-1,9389.0909,NA,0,-1,NA,0,1,1,0,0,0,1
2,0.2311,0,1,-1,3684.7143,0.4777,1,1,1,1,0,0,1,0,0,0
2,-1.3216,1,1,1,124272.8147,-1.2925,1,-1,-1,1,0,0,1,0,0,0
2,2.0791,0,1,1,10762.5,1.5223,1,1,1,0,0,0,0,0,0,0
2,0.5172,1,1,-1,57432.5476,1.2812,1,1,1,1,0,0,1,0,0,0
2,-0.2441,0,1,-1,2798.6667,NA,0,-1,NA,1,0,0,1,0,0,0
