"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
50,1.5572,0,-1,1,73052,0.5183,1,1,1,1,1,1,0,0,1,1
49,-0.5549,0,-1,1,120725.1619,NA,0,-1,NA,1,1,0,1,0,0,0
49,-0.4619,0,-1,1,482113.2167,NA,0,-1,NA,0,3,1,0,0,0,1
49,-0.5878,0,1,1,5844.3333,-0.135,1,-1,-1,1,1,1,0,1,1,0
49,-0.5949,0,-1,1,499,0.3407,1,-1,1,0,0,0,0,0,0,0
49,-0.6497,0,-1,1,24459,0.0327,1,-1,1,0,0,0,0,0,0,0
49,1.641,0,-1,1,12779,2.1986,1,1,1,0,1,0,0,0,0,0
48,-0.6061,1,-1,1,73027.1689,0.3155,1,-1,1,1,0,2,0,1,1,0
48,-0.4186,1,1,1,541935.2191,0.4415,1,-1,1,0,1,0,0,0,0,0
48,-0.547,0,-1,1,5870.0769,-0.2074,1,-1,-1,1,0,0,1,0,0,0
47,1.6581,1,1,-1,352290.1034,1.4675,1,1,1,0,2,0,0,0,0,0
47,-0.5011,1,-1,1,37423.8795,0.196,1,-1,1,3,1,1,1,0,2,0
47,-0.5077,0,-1,1,1000,-0.3641,1,-1,-1,0,0,0,0,0,0,0
46,1.4898,0,-1,1,21310.1264,NA,0,1,NA,0,1,1,0,0,0,1
46,-0.743,1,1,1,406923.1376,0.3549,1,-1,1,1,1,0,0,0,1,0
46,-0.4981,1,-1,1,1154.8977,0.1708,1,-1,1,0,2,0,0,0,0,0
46,-0.587,0,-1,1,24460,0.0327,1,-1,1,0,0,0,0,0,0,0
45,1.4399,0,1,1,38243.2748,0.7539,1,1,1,0,0,0,0,0,0,0
45,-0.7431,1,1,1,1751402.2053,0.5731,1,-1,1,0,1,0,0,0,0,0
45,-0.6752,0,-1,-1,1883.8229,NA,0,-1,NA,1,0,0,1,0,0,0
45,-0.556,1,1,1,144783.7489,0.1412,1,-1,1,0,1,1,0,0,0,1
45,-0.8081,0,-1,1,29833,-0.4956,1,-1,-1,0,0,2,0,0,0,2
44,-0.5535,1,1,1,6539755.5712,0.4832,1,-1,1,0,1,0,0,0,0,0
44,1.5291,0,-1,-1,22218.3292,1.6275,1,1,1,1,0,1,0,0,1,1
44,1.5286,0,1,-1,44549.6824,1.0499,1,1,1,1,1,0,1,0,0,0
44,-0.4917,1,1,-1,62547.4039,-0.2534,1,-1,-1,1,0,0,1,0,0,0
44,1.4805,0,-1,-1,65391,1.1529,1,1,1,0,1,0,0,0,0,0
44,-0.5859,0,1,-1,1325.3333,-0.9023,1,-1,-1,1,0,0,0,0,1,0
43,1.7816,1,-1,1,225956.1298,1.5135,1,1,1,0,0,0,0,0,0,0
43,-0.7338,1,-1,-1,73027.1689,0.3155,1,-1,1,2,0,0,2,0,0,0
43,-0.6559,0,-1,1,4525.3611,-1.0492,1,-1,-1,0,0,2,0,1,0,0
43,1.7018,0,1,-1,24904,1.9969,1,1,1,0,1,1,0,0,0,0
43,-0.5916,0,-1,1,5870.0769,-0.2074,1,-1,-1,1,1,1,1,1,0,0
43,-0.6219,0,1,1,14208,-1.2465,1,-1,-1,0,0,0,0,0,0,0
43,1.4445,0,-1,1,48406,1.5738,1,1,1,0,1,0,0,0,0,0
42,-0.6996,1,1,-1,5877876.2771,-0.2446,1,-1,-1,2,1,0,0,0,1,0
42,1.5196,1,1,-1,495880.5888,1.4434,1,1,1,0,1,2,0,1,0,1
42,1.3195,1,1,-1,311797.8319,1.177,1,1,1,0,1,0,0,0,0,0
42,1.7054,0,-1,1,2067.6391,NA,0,1,NA,1,1,1,1,1,0,0
41,1.3977,0,-1,1,4120.3846,NA,0,1,NA,0,0,0,0,0,0,0
41,1.7296,0,1,1,183723.3669,1.0444,1,1,1,0,0,1,0,0,0,1
41,1.4514,0,1,1,37818.25,1.5705,1,1,1,1,1,1,0,0,1,1
41,1.8184,0,-1,1,3789,1.9048,1,1,1,1,0,0,1,0,0,0
41,-0.483,0,-1,1,888,-0.6009,1,-1,-1,0,0,0,0,0,0,0
40,-0.5331,1,1,1,73027.1689,0.3155,1,-1,1,0,3,0,0,0,0,0
40,-0.506,1,-1,1,1154.8977,0.1708,1,-1,1,0,2,0,0,0,0,0
40,1.5756,1,-1,-1,269764.8636,2.1175,1,1,1,1,0,0,1,0,0,0
40,-0.7567,1,-1,-1,793009.0383,NA,0,-1,NA,1,1,0,0,0,1,0
40,-0.4963,1,-1,-1,127170.3969,-0.7784,1,-1,-1,4,2,0,3,0,1,0
40,-0.5608,1,1,-1,39679.3735,-0.0101,1,-1,-1,0,3,2,0,0,0,1
40,1.6345,0,-1,1,55261,2.1273,1,1,1,0,2,0,0,0,0,0
39,0.9268,0,1,1,403,NA,0,1,NA,1,1,2,1,0,0,2
39,-0.3028,1,1,-1,6394558.3166,0.8526,1,-1,1,1,1,0,0,0,1,0
39,1.4689,1,1,-1,43847.9383,0.9381,1,1,1,0,1,0,0,0,0,0
39,1.5308,0,-1,1,94508.1241,1.7612,1,1,1,0,2,0,0,0,0,0
39,1.3233,1,1,-1,311797.8319,1.177,1,1,1,1,1,0,0,0,1,0
39,1.5447,1,1,1,53480.4734,0.5468,1,1,1,0,1,0,0,0,0,0
39,-0.5888,0,-1,-1,231904,0.3023,1,-1,1,0,1,1,0,0,0,1
39,1.6288,0,-1,1,108899,2.3433,1,1,1,0,0,0,0,0,0,0
39,-0.5052,0,-1,1,29817,-0.4956,1,-1,-1,0,0,1,0,0,0,1
38,1.1094,1,-1,-1,7229150.8923,1.0301,1,1,1,1,1,0,0,0,1,0
38,-0.6255,0,1,1,44415.0303,NA,0,-1,NA,0,2,0,0,0,0,0
38,-0.7598,1,1,-1,173651.5092,0.0086,1,-1,1,1,1,0,1,0,0,0
38,1.4533,1,-1,-1,318468.3083,1.2296,1,1,1,1,0,0,1,0,0,0
38,-0.7155,0,1,-1,116241.1936,-0.91,1,-1,-1,1,2,0,0,0,1,0
38,-0.6339,0,-1,-1,45810.6667,-1.127,1,-1,-1,0,1,0,0,0,0,0
38,-0.3657,1,1,-1,706617.636,-0.3027,1,-1,-1,1,1,0,0,0,1,0
38,-0.5647,0,-1,1,5844.3333,-0.135,1,-1,-1,1,1,1,1,1,0,0
38,1.3807,0,1,-1,73052,0.5183,1,1,1,0,2,0,0,0,0,0
38,-0.5931,0,1,1,39301.3333,-0.306,1,-1,-1,0,0,0,0,0,0,0
38,-0.5582,0,-1,1,29812.9167,-0.4956,1,-1,-1,0,1,0,0,0,0,0
37,-0.7355,1,-1,1,450451.924,-0.0199,1,-1,-1,0,1,0,0,0,0,0
37,-0.6157,0,1,1,44415.0303,NA,0,-1,NA,1,2,0,1,0,0,0
