"Democrat","Republican","NegativeAffect","PositiveAffect","MoralEmotional","retweet_count","favorite_count","has_URL","has_media","outgroup","outgroupidentity","outgroupcongress","outgrouptop","year"
0,0,0,0,0,1380,3448,TRUE,FALSE,,,,,2020
0,0,0,0,0,90,522,TRUE,FALSE,,,,,2020
0,0,0,0,0,177,881,TRUE,FALSE,,,,,2020
0,0,0,0,0,142,1029,TRUE,FALSE,,,,,2020
0,0,0,0,0,114,598,TRUE,FALSE,,,,,2020
0,0,0,0,0,119,680,TRUE,FALSE,,,,,2020
0,0,0,0,0,62,274,TRUE,FALSE,,,,,2020
0,0,0,0,0,87,331,TRUE,FALSE,,,,,2020
0,0,0,0,0,118,774,TRUE,FALSE,,,,,2020
0,0,0,0,0,204,546,TRUE,FALSE,,,,,2020
0,0,0,0,0,92,415,TRUE,FALSE,,,,,2020
0,0,0,0,0,77,469,TRUE,FALSE,,,,,2020
0,0,0,0,0,299,1705,TRUE,FALSE,,,,,2020
0,0,0,0,0,116,395,TRUE,FALSE,,,,,2020
0,0,0,0,0,246,725,TRUE,FALSE,,,,,2020
0,0,0,0,0,87,327,TRUE,FALSE,,,,,2020
0,0,0,0,0,134,539,TRUE,FALSE,,,,,2020
0,0,0,0,0,92,331,TRUE,FALSE,,,,,2020
0,0,0,0,0,182,870,TRUE,FALSE,,,,,2020
0,0,0,0,0,125,837,TRUE,FALSE,,,,,2020
0,0,0,0,0,229,2007,TRUE,FALSE,,,,,2020
0,0,0,0,0,274,1884,TRUE,FALSE,,,,,2020
0,0,0,0,0,503,2129,TRUE,FALSE,,,,,2020
0,0,0,0,0,191,1377,TRUE,FALSE,,,,,2020
0,0,0,0,0,136,652,TRUE,FALSE,,,,,2020
0,0,0,0,0,118,593,TRUE,FALSE,,,,,2020
0,0,0,0,0,248,1108,TRUE,FALSE,,,,,2020
0,0,0,0,0,168,817,TRUE,FALSE,,,,,2020
0,0,0,0,0,122,506,TRUE,FALSE,,,,,2020
0,0,0,0,0,72,478,TRUE,FALSE,,,,,2020
0,0,0,0,0,126,442,TRUE,FALSE,,,,,2020
0,0,0,0,0,83,599,TRUE,FALSE,,,,,2020
0,0,0,0,0,157,929,TRUE,FALSE,,,,,2020
0,0,0,0,0,104,624,TRUE,FALSE,,,,,2020
0,0,0,0,0,79,528,TRUE,FALSE,,,,,2020
0,0,0,0,0,210,870,TRUE,FALSE,,,,,2020
0,0,0,0,0,59,258,TRUE,FALSE,,,,,2020
0,0,0,0,0,114,493,TRUE,FALSE,,,,,2020
0,0,0,0,0,674,2654,TRUE,FALSE,,,,,2020
0,0,0,0,0,83,574,TRUE,FALSE,,,,,2020
0,0,0,0,0,401,2184,TRUE,FALSE,,,,,2020
0,0,0,0,0,56,286,TRUE,FALSE,,,,,2020
0,0,0,0,0,115,432,TRUE,FALSE,,,,,2020
0,0,0,0,0,281,1709,TRUE,FALSE,,,,,2020
0,0,0,0,0,239,2181,TRUE,FALSE,,,,,2020
